special
ā̆
ä̀
ä́
ä̂
ä̌
ạ̀
ạ́
ạ̃
ạ̌
a̧
a᷄
a᷅
a᷆
a᷇
b̓
b͕
č̓
č̣
c̓
d̓
d̪
d̯
ë̀
ë́
ë̂
ë̄
ë̌
e̍
ẹ̀
ẹ́
ẹ̃
ẹ̌
ẹ᷄
ẹ᷅
ẹ᷆
ẹ᷇
e̱
e᷄
e᷅
e᷆
e᷇
g̃
ġ̕
g̑
g̓
g̣
ï̀
ï̂
ï̄
ï̌
i̍
ị̀
ị́
ị̂
ị̃
ị̄
ị᷄
ị᷅
i̧
i̱
i᷄
i᷅
i᷆
i᷇
k̓
k̯
l̕
l̥
l̪
l̯
m̀
m̂
m̄
m̓
m̥
m̧
m̩
n̂
ñ̥
n̄
n̈
ṇ̊
n̓
n̥
n̪
ö̀
ö́
ö̂
ö̌
ọ̀
ọ́
ọ̃
ọ̄
ọ̌
ọ᷄
ọ᷅
ọ᷆
ọ᷇
o̧
o̱
o᷄
o᷅
o᷆
o᷇
p̄
p̓
q̓
r̀
r̃
r̓
r̥
s̓
s̪
t̕
ṭ̕
t̪
t̪̕
t̯
t̯̕
ü̆
u̍
ụ̀
ụ́
ụ̂
ụ̄
ụ̌
u̧
u̱
u᷄
u᷅
u᷆
u᷇
w̥
x̌
x̣
x̯
y̌
z̪
ẽ
i
a͠
ī̃
ā
ā
a͠
i
ū
ã
ẽ
õ
ṛ
ś
ṣ
ṅ
ṭ
ŕ
ṇ
(
)
""
